atemp,hum,windspeed,casual,sum%
0.649167,0.600383,0.735833,0.143029,4.844
0.696667,0.643954,0.670417,0.119408,5.119
0.699167,0.645846,0.666667,0.102,4.744
0.635,0.595346,0.74625,0.155475,4.01
0.680833,0.637646,0.770417,0.171025,4.835
0.733333,0.693829,0.7075,0.172262,4.507
0.728333,0.693833,0.703333,0.238804,4.79
0.724167,0.656583,0.573333,0.222025,4.991
0.695,0.643313,0.483333,0.209571,5.202
0.68,0.637629,0.513333,0.0945333,5.305
0.6825,0.637004,0.658333,0.107588,4.708
0.744167,0.692558,0.634167,0.144283,4.648
0.728333,0.654688,0.497917,0.261821,5.225
0.696667,0.637008,0.434167,0.185312,5.515
0.7225,0.652162,0.39625,0.102608,5.362
0.738333,0.667308,0.444583,0.115062,5.119
0.716667,0.668575,0.6825,0.228858,4.649
0.726667,0.665417,0.637917,0.0814792,6.043
0.746667,0.696338,0.590417,0.126258,4.665
0.72,0.685633,0.743333,0.149883,4.629
0.75,0.686871,0.65125,0.1592,4.592
0.709167,0.670483,0.757917,0.225129,4.04
0.733333,0.664158,0.609167,0.167912,5.336
0.7475,0.690025,0.578333,0.183471,4.881
0.7625,0.729804,0.635833,0.282337,4.086
0.794167,0.739275,0.559167,0.200254,4.258
0.746667,0.689404,0.631667,0.146133,4.342
0.680833,0.635104,0.47625,0.240667,5.084
0.663333,0.624371,0.59125,0.182833,5.538
0.686667,0.638263,0.585,0.208342,5.923
0.719167,0.669833,0.604167,0.245033,5.302
0.746667,0.703925,0.65125,0.215804,4.458
0.776667,0.747479,0.650417,0.1306,4.541
0.768333,0.74685,0.707083,0.113817,4.332
0.815,0.826371,0.69125,0.222021,3.784
0.848333,0.840896,0.580417,0.1331,3.387
0.849167,0.804287,0.5,0.131221,3.285
0.83,0.794829,0.550833,0.169171,3.606
0.743333,0.720958,0.757083,0.0908083,3.84
0.771667,0.696979,0.540833,0.200258,4.59
0.775,0.690667,0.402917,0.183463,4.656
0.779167,0.7399,0.583333,0.178479,4.39
0.838333,0.785967,0.5425,0.174138,3.846
0.804167,0.728537,0.465833,0.168537,4.475
0.805833,0.729796,0.480833,0.164813,4.302
0.771667,0.703292,0.550833,0.156717,4.266
0.783333,0.707071,0.49125,0.20585,4.845
0.731667,0.679937,0.6575,0.135583,3.574
0.71,0.664788,0.7575,0.19715,4.576
0.710833,0.656567,0.630833,0.184696,4.866
0.716667,0.676154,0.755,0.22825,4.294
0.7425,0.715292,0.752917,0.201487,3.785
0.765,0.703283,0.592083,0.192175,4.326
0.775,0.724121,0.570417,0.151121,4.602
0.766667,0.684983,0.424167,0.200258,4.78
0.7175,0.651521,0.42375,0.164796,4.792
0.708333,0.654042,0.415,0.125621,4.905
0.685833,0.645858,0.729583,0.211454,4.15
0.676667,0.624388,0.8175,0.222633,3.82
0.665833,0.616167,0.712083,0.208954,4.338
0.700833,0.645837,0.578333,0.236329,4.725
0.723333,0.666671,0.575417,0.143667,4.694
0.711667,0.662258,0.654583,0.233208,3.805
0.685,0.633221,0.722917,0.139308,4.153
0.6975,0.648996,0.674167,0.104467,5.191
0.710833,0.675525,0.77,0.248754,3.873
0.691667,0.638254,0.47,0.27675,4.758
0.640833,0.606067,0.455417,0.146763,5.895
0.673333,0.630692,0.605,0.253108,5.13
0.684167,0.645854,0.771667,0.210833,3.542
0.7,0.659733,0.76125,0.0839625,4.661
0.68,0.635556,0.85,0.375617,1.115
0.707059,0.647959,0.561765,0.304659,4.334
0.636667,0.607958,0.554583,0.159825,4.634
0.639167,0.594704,0.548333,0.125008,5.204
0.656667,0.611121,0.597917,0.0833333,5.058
0.655,0.614921,0.639167,0.141796,5.115
0.643333,0.604808,0.727083,0.139929,4.727
0.669167,0.633213,0.716667,0.185325,4.484
0.709167,0.665429,0.742083,0.206467,4.94
0.673333,0.625646,0.790417,0.212696,3.351
0.54,0.5152,0.886957,0.343943,2.71
0.599167,0.544229,0.917083,0.0970208,1.996
0.633913,0.555361,0.939565,0.192748,1.842
0.65,0.578946,0.897917,0.124379,3.544
0.66,0.607962,0.75375,0.153608,5.345
0.653333,0.609229,0.71375,0.115054,5.046
0.644348,0.60213,0.692174,0.088913,4.713
0.650833,0.603554,0.7125,0.141804,4.763
0.673333,0.6269,0.697083,0.1673,4.785
0.5775,0.553671,0.709167,0.271146,3.659
0.469167,0.461475,0.590417,0.164183,4.76
0.491667,0.478512,0.718333,0.189675,4.511
0.5075,0.490537,0.695,0.178483,4.274
0.549167,0.529675,0.69,0.151742,4.539
0.561667,0.532217,0.88125,0.134954,3.641
0.595,0.550533,0.9,0.0964042,4.352
0.628333,0.554963,0.902083,0.128125,4.795
0.609167,0.522125,0.9725,0.0783667,2.395
0.606667,0.564412,0.8625,0.0783833,5.423
0.634167,0.572637,0.845,0.0503792,5.01
0.649167,0.589042,0.848333,0.1107,4.63
0.636667,0.574525,0.885417,0.118171,4.12
0.635,0.575158,0.84875,0.148629,3.907
0.616667,0.574512,0.699167,0.172883,4.839
0.564167,0.544829,0.6475,0.206475,5.202
0.41,0.412863,0.75375,0.292296,2.429
0.356667,0.345317,0.791667,0.222013,2.918
0.384167,0.392046,0.760833,0.0833458,3.57
0.484167,0.472858,0.71,0.205854,4.456
0.538333,0.527138,0.647917,0.17725,4.826
0.494167,0.480425,0.620833,0.134954,4.765
0.510833,0.504404,0.684167,0.0223917,4.985
0.521667,0.513242,0.70125,0.0454042,5.409
0.540833,0.523983,0.7275,0.06345,5.511
0.570833,0.542925,0.73375,0.0423042,5.117
0.566667,0.546096,0.80875,0.143042,4.563
0.543333,0.517717,0.90625,0.24815,2.416
0.589167,0.551804,0.896667,0.141787,2.913
0.550833,0.529675,0.71625,0.223883,3.644
0.506667,0.498725,0.483333,0.258083,5.217
0.511667,0.503154,0.486667,0.281717,5.041
0.534167,0.510725,0.579583,0.175379,4.57
0.5325,0.522721,0.701667,0.110087,4.748
0.541739,0.513848,0.895217,0.243339,2.424
0.475833,0.466525,0.63625,0.422275,4.195
0.4275,0.423596,0.574167,0.221396,4.304
0.4225,0.425492,0.629167,0.0926667,4.308
0.421667,0.422333,0.74125,0.0995125,4.381
0.463333,0.457067,0.772083,0.118792,4.187
0.471667,0.463375,0.622917,0.166658,4.687
0.484167,0.472846,0.720417,0.148642,3.894
0.47,0.457046,0.812917,0.197763,2.659
0.330833,0.318812,0.585833,0.229479,3.747
0.254167,0.227913,0.8825,0.351371,0.627
0.319167,0.321329,0.62375,0.176617,3.331
0.34,0.356063,0.703333,0.10635,3.669
0.400833,0.397088,0.68375,0.135571,4.068
0.3775,0.390133,0.71875,0.0820917,4.186
0.408333,0.405921,0.702083,0.136817,3.974
0.403333,0.403392,0.6225,0.271779,4.046
0.326667,0.323854,0.519167,0.189062,3.926
0.348333,0.362358,0.734583,0.0920542,3.649
0.395,0.400871,0.75875,0.057225,4.035
0.408333,0.412246,0.721667,0.0690375,4.205
0.4,0.409079,0.758333,0.0621958,4.109
0.38,0.373721,0.813333,0.189067,2.933
0.324167,0.306817,0.44625,0.314675,3.368
0.356667,0.357942,0.552917,0.212062,4.067
0.440833,0.43055,0.458333,0.281721,3.717
0.53,0.524612,0.587083,0.306596,4.486
0.53,0.507579,0.68875,0.199633,4.195
0.456667,0.451988,0.93,0.136829,1.817
0.341667,0.323221,0.575833,0.305362,3.053
0.274167,0.272721,0.41,0.168533,3.392
0.329167,0.324483,0.502083,0.224496,3.663
0.463333,0.457058,0.684583,0.18595,3.52
0.4475,0.445062,0.91,0.138054,2.765
0.416667,0.421696,0.9625,0.118792,1.607
0.440833,0.430537,0.757917,0.335825,2.566
0.373333,0.372471,0.549167,0.167304,1.495
0.375,0.380671,0.64375,0.0988958,2.792
0.375833,0.385087,0.681667,0.0684208,3.068
0.459167,0.4558,0.698333,0.208954,3.071
0.503478,0.490122,0.743043,0.142122,3.867
0.458333,0.451375,0.830833,0.258092,2.914
0.325,0.311221,0.613333,0.271158,3.613
0.3125,0.305554,0.524583,0.220158,3.727
0.314167,0.331433,0.625833,0.100754,3.94
0.299167,0.310604,0.612917,0.0957833,3.614
0.330833,0.3491,0.775833,0.0839583,3.485
0.385833,0.393925,0.827083,0.0622083,3.811
0.4625,0.4564,0.949583,0.232583,2.594
0.41,0.400246,0.970417,0.266175,0.705
0.265833,0.256938,0.58,0.240058,3.322
0.290833,0.317542,0.695833,0.0827167,3.62
0.275,0.266412,0.5075,0.233221,3.19
0.220833,0.253154,0.49,0.0665417,2.743
0.238333,0.270196,0.670833,0.06345,3.31
0.2825,0.301138,0.59,0.14055,3.523
0.3175,0.338362,0.66375,0.0609583,3.74
0.4225,0.412237,0.634167,0.268042,3.709
0.375,0.359825,0.500417,0.260575,3.577
0.258333,0.249371,0.560833,0.243167,2.739
0.238333,0.245579,0.58625,0.169779,2.431
0.276667,0.280933,0.6375,0.172896,3.403
0.385833,0.396454,0.595417,0.0615708,3.75
0.428333,0.428017,0.858333,0.2214,2.66
0.423333,0.426121,0.7575,0.047275,3.068
0.373333,0.377513,0.68625,0.274246,2.209
0.3025,0.299242,0.5425,0.190304,1.011
0.274783,0.279961,0.681304,0.155091,0.754
0.321739,0.315535,0.506957,0.239465,1.317
0.325,0.327633,0.7625,0.18845,1.162
0.29913,0.279974,0.503913,0.293961,2.302
0.248333,0.263892,0.574167,0.119412,2.423
0.311667,0.318812,0.636667,0.134337,2.999
0.41,0.414121,0.615833,0.220154,2.485
0.37,0.375621,0.6925,0.192167,2.294
0.273043,0.252304,0.381304,0.329665,1.951
0.15,0.126275,0.44125,0.365671,2.236
0.1075,0.119337,0.414583,0.1847,2.368
0.265833,0.278412,0.524167,0.129987,3.272
0.334167,0.340267,0.542083,0.167908,4.098
0.393333,0.390779,0.531667,0.174758,4.521
0.3375,0.340258,0.465,0.191542,3.425
0.224167,0.247479,0.701667,0.0989,2.376
0.308696,0.318826,0.646522,0.187552,3.598
0.274167,0.282821,0.8475,0.131221,2.177
0.3825,0.381938,0.802917,0.180967,4.097
0.274167,0.249362,0.5075,0.378108,3.214
0.18,0.183087,0.4575,0.187183,2.493
0.166667,0.161625,0.419167,0.251258,2.311
0.19,0.190663,0.5225,0.231358,2.298
0.373043,0.364278,0.716087,0.34913,2.935
0.303333,0.275254,0.443333,0.415429,3.376
0.19,0.190038,0.4975,0.220158,3.292
0.2175,0.220958,0.45,0.20275,3.163
0.173333,0.174875,0.83125,0.222642,1.301
0.1625,0.16225,0.79625,0.199638,1.977
0.218333,0.243058,0.91125,0.110708,2.432
0.3425,0.349108,0.835833,0.123767,4.339
0.294167,0.294821,0.64375,0.161071,4.27
0.341667,0.35605,0.769583,0.0733958,4.075
0.425,0.415383,0.74125,0.342667,3.456
0.315833,0.326379,0.543333,0.210829,4.023
0.2825,0.272721,0.31125,0.24005,3.243
0.269167,0.262625,0.400833,0.215792,3.624
0.39,0.381317,0.416667,0.261817,4.509
0.469167,0.466538,0.507917,0.189067,4.579
0.399167,0.398971,0.672917,0.187187,3.761
0.313333,0.309346,0.526667,0.178496,4.151
0.264167,0.272725,0.779583,0.121896,2.832
0.265833,0.264521,0.687917,0.175996,2.947
0.282609,0.296426,0.622174,0.1538,3.784
0.354167,0.361104,0.49625,0.147379,4.375
0.256667,0.266421,0.722917,0.133721,2.802
0.265,0.261988,0.562083,0.194037,3.83
0.280833,0.293558,0.54,0.116929,3.831
0.224167,0.210867,0.73125,0.289796,2.169
0.1275,0.101658,0.464583,0.409212,1.529
0.2225,0.227913,0.41125,0.167283,3.422
0.319167,0.333946,0.50875,0.141179,3.922
0.348333,0.351629,0.53125,0.1816,4.169
0.316667,0.330162,0.752917,0.091425,3.005
0.343333,0.351629,0.634583,0.205846,4.154
0.346667,0.355425,0.534583,0.190929,4.318
0.28,0.265788,0.515833,0.253112,2.689
0.28,0.273391,0.507826,0.229083,3.129
0.287826,0.295113,0.594348,0.205717,3.777
0.395833,0.392667,0.567917,0.234471,4.773
0.454167,0.444446,0.554583,0.190913,5.062
0.4075,0.410971,0.7375,0.237567,3.487
0.290833,0.255675,0.395833,0.421642,2.732
0.279167,0.268308,0.41,0.205229,3.389
0.366667,0.357954,0.490833,0.268033,4.322
0.359167,0.353525,0.395833,0.193417,4.363
0.344348,0.34847,0.804783,0.179117,1.834
0.485833,0.475371,0.615417,0.226987,4.99
0.353333,0.359842,0.657083,0.144904,3.194
0.414167,0.413492,0.62125,0.161079,4.066
0.325833,0.303021,0.403333,0.334571,3.423
0.243333,0.241171,0.50625,0.228858,3.333
0.258333,0.255042,0.456667,0.200875,3.956
0.404167,0.3851,0.513333,0.345779,4.916
0.5275,0.524604,0.5675,0.441563,5.382
0.410833,0.397083,0.407083,0.4148,4.569
0.2875,0.277767,0.350417,0.22575,4.118
0.361739,0.35967,0.476957,0.222587,4.911
0.466667,0.459592,0.489167,0.207713,5.298
0.565,0.542929,0.6175,0.23695,5.847
0.5725,0.548617,0.507083,0.115062,6.312
0.5575,0.532825,0.579583,0.149883,6.192
0.435833,0.436229,0.842083,0.113192,4.378
0.514167,0.505046,0.755833,0.110704,7.836
0.4725,0.464,0.81,0.126883,5.892
0.545,0.532821,0.72875,0.162317,6.153
0.560833,0.538533,0.807917,0.121271,6.093
0.531667,0.513258,0.82125,0.0895583,6.23
0.554167,0.531567,0.83125,0.117562,6.871
0.601667,0.570067,0.694167,0.1163,8.362
0.5025,0.486733,0.885417,0.192783,3.372
0.4375,0.437488,0.880833,0.220775,4.996
0.445833,0.43875,0.477917,0.386821,5.558
0.323333,0.315654,0.29,0.187192,5.102
0.484167,0.47095,0.48125,0.291671,5.698
0.494167,0.482304,0.439167,0.31965,6.133
0.37,0.375621,0.580833,0.138067,5.459
0.424167,0.421708,0.738333,0.250617,6.235
0.425833,0.417287,0.67625,0.172267,6.041
0.433913,0.427513,0.504348,0.312139,5.936
0.466667,0.461483,0.396667,0.100133,6.772
0.541667,0.53345,0.469583,0.180975,6.436
0.435,0.431163,0.374167,0.219529,6.457
0.403333,0.390767,0.377083,0.300388,6.46
0.4375,0.426129,0.254167,0.274871,6.857
0.5,0.492425,0.275833,0.232596,5.169
0.489167,0.476638,0.3175,0.358196,5.585
0.446667,0.436233,0.435,0.249375,5.918
0.348696,0.337274,0.469565,0.295274,4.862
0.3975,0.387604,0.46625,0.290429,5.409
0.4425,0.431808,0.408333,0.155471,6.398
0.495,0.487996,0.502917,0.190917,7.46
0.606667,0.573875,0.507917,0.225129,7.132
0.664167,0.614925,0.561667,0.284829,6.37
0.608333,0.598487,0.390417,0.273629,6.691
0.463333,0.457038,0.569167,0.167912,4.367
0.498333,0.493046,0.6125,0.0659292,6.565
0.526667,0.515775,0.694583,0.149871,7.29
0.57,0.542921,0.682917,0.283587,6.624
0.396667,0.389504,0.835417,0.344546,1.027
0.321667,0.301125,0.766667,0.303496,3.214
0.413333,0.405283,0.454167,0.249383,5.633
0.476667,0.470317,0.427917,0.118792,6.196
0.498333,0.483583,0.756667,0.176625,5.026
0.4575,0.452637,0.400833,0.347633,6.233
0.376667,0.377504,0.489583,0.129975,4.22
0.458333,0.450121,0.587083,0.116908,6.304
0.464167,0.457696,0.57,0.171638,5.572
0.613333,0.577021,0.659583,0.156096,5.74
0.564167,0.537896,0.797083,0.138058,6.169
0.56,0.537242,0.768333,0.133696,6.421
0.6275,0.590917,0.735417,0.162938,6.296
0.621667,0.584608,0.756667,0.152992,6.883
0.5625,0.546737,0.74,0.149879,6.359
0.5375,0.527142,0.664167,0.230721,6.273
0.581667,0.557471,0.685833,0.296029,5.728
0.575,0.553025,0.744167,0.216412,4.717
0.505833,0.491783,0.552083,0.314063,6.572
0.533333,0.520833,0.360417,0.236937,7.03
0.564167,0.544817,0.480417,0.123133,7.429
0.6125,0.585238,0.57625,0.225117,6.118
0.573333,0.5499,0.789583,0.212692,2.843
0.611667,0.576404,0.794583,0.147392,5.115
0.636667,0.595975,0.697917,0.122512,7.424
0.593333,0.572613,0.52,0.229475,7.384
0.564167,0.551121,0.523333,0.136817,7.639
0.6,0.566908,0.45625,0.083975,8.294
0.620833,0.583967,0.530417,0.254367,7.129
0.598333,0.565667,0.81125,0.233204,4.359
0.615,0.580825,0.765833,0.118167,6.073
0.621667,0.584612,0.774583,0.102,5.26
0.655,0.6067,0.716667,0.172896,6.77
0.68,0.627529,0.747083,0.14055,6.734
0.6925,0.642696,0.7325,0.198992,6.536
0.69,0.641425,0.697083,0.215171,6.591
0.7125,0.6793,0.67625,0.196521,6.043
0.7225,0.672992,0.684583,0.2954,5.743
0.656667,0.611129,0.67,0.134329,6.855
0.68,0.631329,0.492917,0.195279,7.338
0.654167,0.607962,0.755417,0.237563,4.127
0.583333,0.566288,0.549167,0.186562,8.12
0.6025,0.575133,0.493333,0.184087,7.641
0.5975,0.578283,0.487083,0.284833,6.998
0.540833,0.525892,0.613333,0.209575,7.001
0.554167,0.542292,0.61125,0.077125,7.055
0.6025,0.569442,0.567083,0.15735,7.494
0.649167,0.597862,0.467917,0.175383,7.736
0.710833,0.648367,0.437083,0.144287,7.498
0.726667,0.663517,0.538333,0.133721,6.598
0.720833,0.659721,0.587917,0.207713,6.664
0.653333,0.597875,0.833333,0.214546,4.972
0.655833,0.611117,0.582083,0.343279,7.421
0.648333,0.624383,0.569583,0.253733,7.363
0.639167,0.599754,0.589583,0.176617,7.665
0.631667,0.594708,0.504167,0.166667,7.702
0.5925,0.571975,0.59875,0.144904,6.978
0.568333,0.544842,0.777917,0.174746,5.099
0.688333,0.654692,0.69,0.148017,6.825
0.7825,0.720975,0.592083,0.113812,6.211
0.805833,0.752542,0.567917,0.118787,5.905
0.7775,0.724121,0.57375,0.182842,5.823
0.731667,0.652792,0.534583,0.179721,7.458
0.743333,0.674254,0.479167,0.145525,6.891
0.715833,0.654042,0.504167,0.300383,6.779
0.630833,0.594704,0.373333,0.347642,7.442
0.6975,0.640792,0.36,0.271775,7.335
0.749167,0.675512,0.4225,0.17165,6.879
0.834167,0.786613,0.48875,0.165417,5.463
0.765,0.687508,0.60125,0.161071,5.687
0.815833,0.750629,0.51875,0.168529,5.531
0.781667,0.702038,0.447083,0.195267,6.227
0.780833,0.70265,0.492083,0.126237,6.66
0.789167,0.732337,0.53875,0.13495,7.403
0.8275,0.761367,0.457917,0.194029,6.241
0.828333,0.752533,0.450833,0.146142,6.207
0.861667,0.804913,0.492083,0.163554,4.84
0.8225,0.790396,0.57375,0.125629,4.672
0.710833,0.654054,0.683333,0.180975,6.569
0.720833,0.664796,0.6675,0.151737,6.29
0.716667,0.650271,0.633333,0.151733,7.264
0.715833,0.654683,0.529583,0.146775,7.446
0.731667,0.667933,0.485833,0.08085,7.499
0.703333,0.666042,0.699167,0.143679,6.969
0.745833,0.705196,0.717917,0.166667,6.031
0.763333,0.724125,0.645,0.164187,6.83
0.818333,0.755683,0.505833,0.114429,6.786
0.793333,0.745583,0.577083,0.137442,5.713
0.77,0.714642,0.600417,0.165429,6.591
0.665833,0.613025,0.844167,0.208967,5.87
0.595833,0.549912,0.865417,0.2133,4.459
0.6675,0.623125,0.7625,0.0939208,7.41
0.741667,0.690017,0.694167,0.138683,6.966
0.750833,0.70645,0.655,0.211454,7.592
0.724167,0.654054,0.45,0.1648,8.173
0.776667,0.739263,0.596667,0.284813,6.861
0.781667,0.734217,0.594583,0.152992,6.904
0.755833,0.697604,0.613333,0.15735,6.685
0.721667,0.667933,0.62375,0.170396,6.597
0.730833,0.684987,0.66875,0.153617,7.105
0.713333,0.662896,0.704167,0.165425,7.216
0.7175,0.667308,0.6775,0.141179,7.58
0.7525,0.707088,0.659583,0.129354,7.261
0.765833,0.722867,0.6425,0.215792,7.175
0.793333,0.751267,0.613333,0.257458,6.824
0.769167,0.731079,0.6525,0.290421,5.464
0.7525,0.710246,0.654167,0.129354,7.013
0.735833,0.697621,0.70375,0.116908,7.273
0.75,0.707717,0.672917,0.1107,7.534
